"Gender" "Length" "Diameter" "Height" "Weight" "Shucked" "Viscera" "Shell"
"2627" "M" 0.22 0.16 0.05 0.049 0.0215 0.01 0.015
"2551" "M" 0.28 0.22 0.08 0.1315 0.066 0.024 0.03
"1239" "M" 0.375 0.28 0.08 0.2025 0.0825 0.048 0.065
"1924" "F" 0.61 0.46 0.145 1.1185 0.478 0.2945 0.2985
"1609" "M" 0.545 0.4 0.13 0.686 0.3285 0.1455 0.18
"2004" "M" 0.375 0.28 0.08 0.226 0.105 0.047 0.065
"364" "F" 0.6 0.48 0.15 1.029 0.4085 0.2705 0.295
"1970" "F" 0.67 0.53 0.205 1.4015 0.643 0.2465 0.416
"1481" "F" 0.58 0.46 0.175 1.165 0.65 0.2205 0.3055
"4045" "F" 0.58 0.425 0.155 0.873 0.3615 0.249 0.239
"804" "M" 0.37 0.275 0.1 0.22 0.094 0.045 0.065
"2199" "M" 0.27 0.19 0.08 0.081 0.0265 0.0195 0.03
"2878" "M" 0.46 0.36 0.14 0.447 0.161 0.087 0.16
"1268" "F" 0.46 0.365 0.125 0.4785 0.206 0.1045 0.141
"1859" "F" 0.51 0.4 0.12 0.7005 0.347 0.1105 0.195
"2655" "F" 0.545 0.43 0.14 0.832 0.4355 0.17 0.201
"1601" "M" 0.535 0.4 0.13 0.657 0.2835 0.162 0.175
"1335" "F" 0.575 0.42 0.135 0.857 0.461 0.147 0.2125
"2991" "F" 0.59 0.44 0.14 1.007 0.4775 0.2105 0.2925
"1289" "M" 0.505 0.38 0.12 0.594 0.2595 0.1435 0.18
"246" "M" 0.35 0.26 0.085 0.174 0.0705 0.0345 0.06
"1200" "F" 0.72 0.58 0.195 2.103 1.0265 0.48 0.5375
"3013" "M" 0.39 0.3 0.1 0.2665 0.1105 0.059 0.084
"2823" "M" 0.45 0.335 0.105 0.362 0.1575 0.0795 0.1095
"3063" "F" 0.635 0.505 0.165 1.251 0.577 0.227 0.3825
"206" "F" 0.44 0.34 0.14 0.482 0.186 0.1085 0.16
"1619" "M" 0.555 0.46 0.145 0.9005 0.3845 0.158 0.2765
"2826" "M" 0.495 0.375 0.12 0.589 0.3075 0.1215 0.1405
"590" "F" 0.405 0.31 0.12 0.3095 0.138 0.058 0.095
"2870" "M" 0.37 0.28 0.085 0.198 0.0805 0.0455 0.058
"3378" "M" 0.255 0.19 0.07 0.0815 0.028 0.016 0.031
"2707" "F" 0.725 0.53 0.19 1.7315 0.83 0.398 0.405
"89" "F" 0.46 0.355 0.13 0.517 0.2205 0.114 0.165
"2409" "M" 0.62 0.485 0.17 1.208 0.4805 0.3045 0.33
"2931" "F" 0.615 0.475 0.175 1.194 0.559 0.259 0.3165
"588" "F" 0.55 0.41 0.145 0.8285 0.3095 0.1905 0.25
"352" "F" 0.585 0.45 0.17 0.8685 0.3325 0.1635 0.27
"3949" "F" 0.53 0.4 0.165 0.772 0.2855 0.1975 0.23
"3857" "M" 0.335 0.255 0.085 0.1785 0.071 0.0405 0.055
"425" "M" 0.26 0.2 0.07 0.092 0.037 0.02 0.03
"3516" "F" 0.69 0.525 0.19 1.492 0.6425 0.3905 0.42
"70" "M" 0.31 0.235 0.07 0.151 0.063 0.0405 0.045
"3072" "F" 0.655 0.455 0.17 1.2895 0.587 0.3165 0.3415
"26" "F" 0.56 0.44 0.14 0.9285 0.3825 0.188 0.3
"473" "M" 0.43 0.34 0.12 0.3575 0.151 0.0645 0.1045
"2678" "F" 0.615 0.475 0.17 1.055 0.543 0.246 0.2345
"2756" "F" 0.525 0.415 0.15 0.7055 0.329 0.147 0.199
"1996" "M" 0.32 0.24 0.07 0.133 0.0585 0.0255 0.041
"1016" "F" 0.625 0.485 0.2 1.38 0.5845 0.302 0.401
"4115" "F" 0.57 0.45 0.15 0.9645 0.531 0.189 0.209
"4038" "M" 0.54 0.415 0.155 0.702 0.322 0.167 0.19
"51" "M" 0.52 0.41 0.12 0.595 0.2385 0.111 0.19
"3361" "F" 0.58 0.44 0.175 1.073 0.4005 0.2345 0.335
"2721" "M" 0.37 0.275 0.09 0.2065 0.096 0.0395 0.058
"2776" "M" 0.585 0.46 0.145 0.8465 0.339 0.167 0.295
"2395" "M" 0.625 0.46 0.16 1.2395 0.55 0.273 0.38
"1285" "M" 0.5 0.41 0.14 0.6615 0.2585 0.1625 0.196
"1995" "M" 0.29 0.21 0.065 0.097 0.0375 0.022 0.03
"552" "M" 0.615 0.49 0.155 0.9885 0.4145 0.195 0.345
"888" "F" 0.675 0.525 0.155 1.4785 0.628 0.3405 0.42
"1249" "M" 0.395 0.295 0.095 0.2725 0.115 0.0625 0.085
"2400" "F" 0.53 0.43 0.17 0.775 0.35 0.152 0.235
"4002" "M" 0.48 0.35 0.105 0.635 0.352 0.127 0.135
"3926" "F" 0.47 0.35 0.115 0.487 0.1955 0.127 0.155
"3336" "F" 0.425 0.325 0.135 0.382 0.1465 0.079 0.14
"3572" "F" 0.585 0.465 0.165 0.9355 0.4035 0.2275 0.259
"1100" "M" 0.5 0.375 0.14 0.5495 0.248 0.112 0.1585
"1312" "M" 0.55 0.43 0.145 0.7895 0.3745 0.171 0.223
"1197" "F" 0.71 0.56 0.18 1.652 0.735 0.381 0.4525
"1245" "M" 0.385 0.3 0.095 0.302 0.152 0.0615 0.0735
"460" "F" 0.525 0.41 0.135 0.7085 0.293 0.1525 0.235
"1310" "M" 0.545 0.43 0.15 0.7285 0.302 0.1315 0.2545
"67" "F" 0.565 0.44 0.16 0.915 0.354 0.1935 0.32
"1860" "M" 0.515 0.415 0.135 0.7125 0.285 0.152 0.245
"1597" "M" 0.53 0.42 0.12 0.5965 0.2555 0.141 0.177
"3213" "F" 0.585 0.46 0.17 1.0835 0.3745 0.326 0.325
"10" "F" 0.55 0.44 0.15 0.8945 0.3145 0.151 0.32
"3965" "M" 0.27 0.19 0.06 0.099 0.0445 0.017 0.03
"3345" "M" 0.495 0.38 0.145 0.515 0.175 0.098 0.212
"3681" "F" 0.61 0.495 0.165 1.0835 0.4525 0.273 0.317
"2954" "F" 0.645 0.52 0.17 1.197 0.526 0.2925 0.317
"4102" "F" 0.675 0.51 0.15 1.1965 0.475 0.304 0.386
"978" "F" 0.535 0.4 0.135 0.8215 0.3935 0.196 0.205
"3525" "M" 0.32 0.24 0.085 0.131 0.0615 0.0265 0.038
"1965" "F" 0.66 0.535 0.205 1.4415 0.5925 0.2775 0.49
"3246" "F" 0.695 0.55 0.16 1.6365 0.694 0.3005 0.44
"2003" "M" 0.36 0.27 0.085 0.196 0.0905 0.034 0.053
"2361" "F" 0.545 0.44 0.175 0.7745 0.2985 0.1875 0.265
"4066" "M" 0.37 0.275 0.08 0.2325 0.093 0.056 0.072
"624" "F" 0.5 0.385 0.105 0.498 0.1795 0.1095 0.17
"1333" "M" 0.57 0.44 0.13 0.7665 0.347 0.1785 0.202
"2640" "M" 0.46 0.37 0.12 0.5335 0.2645 0.108 0.1345
"3772" "M" 0.575 0.45 0.145 0.795 0.364 0.1505 0.26
"3648" "M" 0.485 0.365 0.125 0.426 0.163 0.0965 0.151
"3341" "M" 0.54 0.435 0.145 0.97 0.4285 0.22 0.264
"3398" "F" 0.475 0.375 0.15 0.559 0.1955 0.1215 0.1945
"1985" "F" 0.75 0.55 0.195 1.8325 0.83 0.366 0.44
"3988" "F" 0.655 0.545 0.185 1.759 0.6865 0.313 0.547
"573" "F" 0.59 0.455 0.155 1.066 0.382 0.2275 0.415
"2391" "F" 0.455 0.35 0.125 0.4485 0.1585 0.102 0.1335
"604" "M" 0.47 0.345 0.115 0.4885 0.2005 0.108 0.166
"4166" "M" 0.405 0.3 0.085 0.3035 0.15 0.0505 0.088
"3968" "M" 0.315 0.23 0.07 0.164 0.0625 0.04 0.045
"2977" "M" 0.43 0.345 0.115 0.4295 0.212 0.108 0.109
"2584" "F" 0.53 0.405 0.15 0.889 0.4055 0.2275 0.215
"3412" "M" 0.43 0.32 0.1 0.3855 0.192 0.0745 0.1
"2746" "M" 0.485 0.38 0.125 0.5215 0.2215 0.118 0.16
"2049" "M" 0.44 0.305 0.115 0.379 0.162 0.091 0.11
"716" "M" 0.275 0.2 0.065 0.1035 0.0475 0.0205 0.03
"862" "F" 0.595 0.465 0.14 1.113 0.5175 0.244 0.305
"113" "M" 0.435 0.32 0.08 0.3325 0.1485 0.0635 0.105
"1247" "M" 0.39 0.3 0.095 0.3265 0.1665 0.0575 0.089
"3457" "F" 0.61 0.48 0.16 1.234 0.598 0.238 0.315
"640" "F" 0.51 0.4 0.13 0.5735 0.219 0.1365 0.195
"1318" "M" 0.555 0.43 0.155 0.7395 0.3135 0.1435 0.28
"1235" "M" 0.375 0.29 0.095 0.213 0.096 0.041 0.061
"2224" "F" 0.555 0.455 0.18 0.958 0.296 0.195 0.39
"628" "F" 0.38 0.305 0.095 0.2815 0.1255 0.0525 0.09
"201" "F" 0.45 0.345 0.12 0.4165 0.1655 0.095 0.135
"1485" "F" 0.59 0.465 0.15 1.151 0.613 0.239 0.2515
"2516" "F" 0.47 0.375 0.12 0.6015 0.2765 0.1455 0.135
"488" "F" 0.625 0.515 0.15 1.2415 0.5235 0.3065 0.36
"2769" "M" 0.56 0.435 0.135 0.72 0.329 0.103 0.251
"2223" "F" 0.625 0.525 0.195 1.352 0.4505 0.2445 0.53
"1604" "M" 0.54 0.43 0.14 0.8195 0.3935 0.1725 0.2295
"3240" "F" 0.69 0.54 0.185 1.5715 0.6935 0.318 0.47
"2026" "F" 0.55 0.47 0.15 0.9205 0.381 0.2435 0.2675
"1951" "F" 0.64 0.48 0.145 1.1145 0.508 0.24 0.34
"2044" "M" 0.395 0.295 0.1 0.293 0.14 0.062 0.082
"2608" "F" 0.625 0.49 0.165 1.127 0.477 0.2365 0.3185
"2190" "F" 0.49 0.37 0.14 0.585 0.243 0.115 0.195
"3284" "F" 0.59 0.475 0.155 0.9715 0.371 0.235 0.28
"563" "F" 0.475 0.35 0.115 0.452 0.1715 0.092 0.155
"3841" "F" 0.53 0.41 0.145 0.8255 0.375 0.204 0.245
"2809" "F" 0.705 0.54 0.205 1.757 0.8265 0.417 0.461
"2614" "F" 0.635 0.495 0.195 1.297 0.556 0.2985 0.37
"3176" "M" 0.51 0.405 0.12 0.61 0.229 0.131 0.235
"3803" "M" 0.305 0.23 0.075 0.1455 0.0595 0.0305 0.05
"3865" "M" 0.32 0.235 0.065 0.1385 0.058 0.0225 0.05
"3720" "M" 0.38 0.28 0.095 0.2885 0.165 0.0435 0.067
"1115" "M" 0.525 0.4 0.14 0.601 0.2625 0.1285 0.1835
"3655" "M" 0.53 0.42 0.14 0.6765 0.256 0.1855 0.208
"142" "F" 0.55 0.45 0.145 0.741 0.295 0.1435 0.2665
"3077" "F" 0.68 0.56 0.195 1.664 0.58 0.3855 0.545
"827" "M" 0.395 0.29 0.095 0.304 0.127 0.084 0.077
"2287" "F" 0.5 0.395 0.15 0.7145 0.3235 0.173 0.195
"1703" "F" 0.635 0.49 0.17 1.2615 0.5385 0.2665 0.38
"3436" "M" 0.375 0.285 0.09 0.257 0.1045 0.062 0.075
"3167" "F" 0.64 0.54 0.175 1.571 0.627 0.271 0.475
"3999" "M" 0.375 0.28 0.08 0.2235 0.115 0.043 0.055
"2388" "M" 0.47 0.35 0.135 0.567 0.2315 0.1465 0.1525
"3151" "F" 0.655 0.505 0.165 1.367 0.5835 0.3515 0.396
"2862" "F" 0.72 0.565 0.17 1.613 0.723 0.3255 0.4945
"1422" "F" 0.72 0.575 0.17 1.9335 0.913 0.389 0.51
"3916" "M" 0.56 0.445 0.165 1.0285 0.4535 0.253 0.275
"2767" "F" 0.555 0.445 0.175 1.1465 0.551 0.244 0.2785
"422" "M" 0.49 0.38 0.12 0.529 0.2165 0.139 0.155
"4156" "M" 0.44 0.35 0.11 0.3805 0.1575 0.0895 0.115
"4118" "F" 0.64 0.505 0.175 1.3185 0.6185 0.302 0.3315
"1042" "F" 0.675 0.57 0.225 1.587 0.739 0.2995 0.435
"2944" "F" 0.63 0.485 0.185 1.167 0.548 0.2485 0.34
"2765" "M" 0.55 0.465 0.15 0.936 0.481 0.174 0.2435
"1355" "M" 0.6 0.475 0.15 1.12 0.565 0.2465 0.27
"3754" "M" 0.475 0.36 0.11 0.452 0.191 0.099 0.13
"2272" "F" 0.52 0.41 0.17 0.8705 0.3735 0.219 0.25
"4065" "F" 0.64 0.49 0.18 1.36 0.653 0.347 0.305
"3581" "F" 0.62 0.48 0.165 1.043 0.4835 0.221 0.31
"146" "F" 0.49 0.38 0.125 0.549 0.245 0.1075 0.174
"2920" "F" 0.6 0.48 0.17 1.056 0.4575 0.2435 0.3135
"3083" "F" 0.755 0.575 0.2 2.073 1.0135 0.4655 0.48
"3437" "M" 0.38 0.275 0.095 0.2505 0.0945 0.0655 0.075
"3748" "M" 0.385 0.29 0.1 0.2575 0.1 0.061 0.086
"601" "M" 0.535 0.42 0.145 0.926 0.398 0.1965 0.25
"2958" "F" 0.655 0.5 0.205 1.528 0.6215 0.3725 0.4535
"2568" "F" 0.46 0.35 0.115 0.46 0.2025 0.1115 0.1165
"79" "F" 0.555 0.425 0.14 0.788 0.282 0.1595 0.285
"115" "F" 0.545 0.41 0.125 0.6935 0.2975 0.146 0.21
"2602" "F" 0.615 0.5 0.165 1.327 0.6 0.3015 0.355
"708" "F" 0.345 0.26 0.09 0.207 0.0775 0.0435 0.0765
"3874" "M" 0.33 0.25 0.075 0.1405 0.056 0.035 0.05
"2993" "M" 0.595 0.43 0.165 0.9845 0.4525 0.207 0.2725
"2735" "M" 0.42 0.325 0.115 0.314 0.1295 0.0635 0.1
"3554" "M" 0.53 0.405 0.13 0.6615 0.2945 0.1395 0.19
"3495" "F" 0.555 0.43 0.135 0.812 0.4055 0.163 0.2215
"1761" "F" 0.75 0.565 0.215 1.938 0.7735 0.4825 0.575
"1269" "M" 0.465 0.34 0.11 0.346 0.1425 0.073 0.113
"2641" "M" 0.465 0.355 0.105 0.442 0.2085 0.0975 0.1185
"2569" "M" 0.46 0.345 0.12 0.4155 0.198 0.0885 0.107
"3043" "M" 0.575 0.43 0.13 0.7425 0.2895 0.2005 0.22
"2429" "F" 0.53 0.385 0.125 0.6695 0.289 0.151 0.18
"2383" "M" 0.525 0.43 0.15 0.7365 0.3225 0.161 0.215
"553" "M" 0.56 0.44 0.165 0.8 0.335 0.1735 0.25
"2221" "F" 0.535 0.46 0.145 0.7875 0.3395 0.2005 0.2
"2175" "F" 0.645 0.5 0.17 1.1845 0.4805 0.274 0.355
"2604" "F" 0.62 0.51 0.175 1.2705 0.5415 0.323 0.3225
"2163" "F" 0.71 0.565 0.195 1.817 0.785 0.492 0.49
"2890" "M" 0.52 0.4 0.11 0.597 0.2935 0.1155 0.16
"3201" "F" 0.505 0.405 0.16 0.6835 0.271 0.145 0.215
"2386" "F" 0.45 0.345 0.115 0.496 0.1905 0.117 0.14
"2880" "M" 0.47 0.385 0.13 0.587 0.264 0.117 0.174
"1095" "M" 0.47 0.38 0.125 0.4845 0.211 0.1075 0.142
"2833" "F" 0.54 0.42 0.14 0.8035 0.38 0.1805 0.21
"3407" "M" 0.35 0.28 0.075 0.196 0.082 0.04 0.064
"770" "F" 0.53 0.425 0.17 0.949 0.3485 0.2395 0.278
"223" "F" 0.49 0.375 0.15 0.5755 0.22 0.144 0.19
"2399" "M" 0.5 0.385 0.155 0.762 0.3795 0.161 0.19
"1572" "M" 0.475 0.36 0.125 0.4905 0.205 0.1305 0.125
"2374" "F" 0.5 0.405 0.15 0.5965 0.253 0.126 0.185
"1505" "F" 0.635 0.505 0.145 1.1345 0.505 0.2655 0.315
"3459" "F" 0.61 0.47 0.16 1.0745 0.4925 0.236 0.29
"3214" "F" 0.555 0.42 0.14 0.868 0.33 0.243 0.21
"933" "M" 0.445 0.35 0.13 0.4195 0.1695 0.0945 0.1195
"2715" "M" 0.29 0.215 0.065 0.0985 0.0425 0.021 0.031
"3998" "M" 0.36 0.27 0.09 0.2075 0.098 0.039 0.062
"391" "M" 0.415 0.325 0.1 0.3215 0.1535 0.0595 0.105
"3749" "M" 0.4 0.315 0.1 0.3225 0.143 0.0735 0.091
"3575" "F" 0.6 0.47 0.17 1.0805 0.4995 0.2245 0.3205
"664" "F" 0.38 0.305 0.105 0.281 0.1045 0.0615 0.09
"787" "F" 0.515 0.39 0.13 0.5755 0.1975 0.13 0.1845
"81" "F" 0.575 0.445 0.14 0.941 0.3845 0.252 0.285
"3978" "M" 0.475 0.35 0.12 0.4905 0.2035 0.13 0.135
"261" "F" 0.54 0.475 0.155 0.928 0.394 0.194 0.26
"1507" "F" 0.64 0.515 0.205 1.5335 0.6635 0.3345 0.4025
"2924" "F" 0.605 0.495 0.17 1.0915 0.4365 0.2715 0.335
"4141" "F" 0.645 0.535 0.19 1.2395 0.468 0.2385 0.424
"820" "M" 0.36 0.3 0.085 0.27 0.1185 0.064 0.0745
"3750" "M" 0.43 0.33 0.095 0.32 0.118 0.065 0.123
"234" "M" 0.275 0.215 0.075 0.1155 0.0485 0.029 0.035
"3934" "M" 0.235 0.18 0.06 0.058 0.022 0.0145 0.018
"294" "F" 0.565 0.455 0.175 1.013 0.342 0.207 0.35
"921" "M" 0.415 0.33 0.09 0.3595 0.17 0.081 0.09
"2000" "M" 0.35 0.25 0.07 0.1605 0.0715 0.0335 0.046
"437" "M" 0.36 0.275 0.095 0.217 0.084 0.0435 0.09
"1725" "F" 0.655 0.505 0.195 1.4405 0.688 0.3805 0.363
"856" "F" 0.575 0.465 0.14 0.958 0.442 0.1815 0.2705
"3216" "F" 0.62 0.485 0.175 1.271 0.531 0.3075 0.37
"3967" "M" 0.295 0.22 0.065 0.1295 0.052 0.028 0.035
"3440" "M" 0.44 0.35 0.125 0.456 0.21 0.0955 0.131
"1959" "M" 0.65 0.52 0.15 1.238 0.5495 0.296 0.3305
"1018" "F" 0.63 0.495 0.165 1.3075 0.599 0.284 0.315
"2289" "M" 0.33 0.265 0.09 0.18 0.068 0.036 0.06
"2277" "F" 0.62 0.48 0.23 1.0935 0.403 0.245 0.355
"4106" "F" 0.715 0.565 0.18 1.79 0.844 0.3535 0.5385
"4151" "M" 0.33 0.23 0.08 0.14 0.0565 0.0365 0.046
"2592" "F" 0.585 0.45 0.16 0.9045 0.405 0.2215 0.2335
"696" "M" 0.315 0.23 0.09 0.1285 0.043 0.04 0.04
"2027" "F" 0.56 0.41 0.16 0.8215 0.342 0.184 0.253
"368" "F" 0.58 0.455 0.12 1.0735 0.479 0.2735 0.265
"2043" "M" 0.385 0.28 0.1 0.2755 0.1305 0.061 0.0725
"3882" "F" 0.565 0.455 0.13 1.058 0.439 0.2645 0.3
"3545" "M" 0.475 0.355 0.125 0.4865 0.2155 0.1105 0.142
"1324" "M" 0.56 0.455 0.145 0.974 0.547 0.1615 0.235
"1003" "F" 0.595 0.46 0.14 1.0045 0.4655 0.2095 0.2515
"2141" "F" 0.45 0.36 0.125 0.5065 0.222 0.105 0.16
"542" "F" 0.44 0.355 0.115 0.415 0.1585 0.0925 0.131
"1621" "M" 0.56 0.44 0.13 0.7235 0.349 0.149 0.2
"2699" "F" 0.665 0.505 0.165 1.349 0.5985 0.3175 0.36
"1486" "F" 0.59 0.46 0.145 0.9905 0.453 0.2205 0.275
"3662" "M" 0.55 0.415 0.15 0.7915 0.3535 0.176 0.236
"2591" "F" 0.58 0.445 0.145 0.888 0.41 0.1815 0.2425
"1425" "F" 0.73 0.58 0.19 1.7375 0.6785 0.4345 0.52
"3219" "F" 0.64 0.505 0.19 1.2355 0.4435 0.3105 0.365
"139" "F" 0.405 0.325 0.11 0.3555 0.151 0.063 0.117
"3386" "F" 0.475 0.35 0.115 0.487 0.194 0.1455 0.125
"3779" "M" 0.59 0.45 0.125 0.86 0.437 0.1515 0.245
"2438" "M" 0.335 0.24 0.095 0.17 0.062 0.039 0.055
"3114" "M" 0.425 0.325 0.105 0.3975 0.1815 0.081 0.1175
"577" "M" 0.56 0.425 0.14 0.9175 0.4005 0.1975 0.26
"1298" "M" 0.53 0.415 0.13 0.694 0.3905 0.111 0.167
"2913" "M" 0.585 0.45 0.135 0.855 0.3795 0.187 0.26
"4130" "M" 0.57 0.425 0.14 0.7655 0.331 0.14 0.24
"3328" "M" 0.635 0.48 0.2 1.3655 0.6255 0.2595 0.425
"3528" "M" 0.35 0.26 0.09 0.1765 0.072 0.0355 0.0575
"3433" "M" 0.36 0.27 0.09 0.219 0.097 0.0405 0.065
"4176" "F" 0.625 0.485 0.15 1.0945 0.531 0.261 0.296
"1154" "F" 0.6 0.475 0.16 1.0265 0.485 0.2495 0.2565
"3642" "M" 0.465 0.37 0.115 0.4075 0.1515 0.0935 0.1455
"2511" "M" 0.42 0.32 0.1 0.34 0.1745 0.05 0.0945
"4135" "F" 0.595 0.455 0.14 0.914 0.3895 0.2225 0.271
"3777" "F" 0.585 0.42 0.155 0.9845 0.442 0.2155 0.2875
"1944" "F" 0.635 0.485 0.165 1.2695 0.5635 0.3065 0.3395
"2239" "M" 0.46 0.335 0.11 0.444 0.225 0.0745 0.11
"3188" "F" 0.51 0.385 0.135 0.632 0.282 0.145 0.17
"1301" "M" 0.53 0.425 0.13 0.7675 0.419 0.1205 0.21
"1656" "F" 0.6 0.46 0.155 0.9735 0.427 0.2045 0.3
"3645" "M" 0.475 0.365 0.105 0.4175 0.1645 0.099 0.127
"1493" "F" 0.61 0.485 0.17 1.1005 0.5125 0.229 0.305
"954" "F" 0.485 0.37 0.115 0.4785 0.1995 0.0955 0.129
"533" "M" 0.47 0.37 0.12 0.4705 0.1845 0.1055 0.155
"2046" "M" 0.405 0.31 0.09 0.312 0.138 0.06 0.087
"2868" "M" 0.325 0.25 0.075 0.1585 0.075 0.0305 0.0455
"247" "M" 0.32 0.245 0.08 0.1585 0.0635 0.0325 0.05
"3462" "F" 0.625 0.495 0.16 1.1115 0.4495 0.2825 0.345
"4165" "M" 0.39 0.29 0.1 0.2845 0.1255 0.0635 0.081
"3380" "M" 0.295 0.21 0.08 0.1 0.038 0.026 0.031
"2206" "M" 0.275 0.22 0.08 0.1365 0.0565 0.0285 0.042
"3981" "F" 0.525 0.41 0.115 0.7745 0.416 0.163 0.18
"1741" "F" 0.675 0.51 0.195 1.382 0.6045 0.3175 0.3965
"1685" "M" 0.62 0.47 0.14 0.8565 0.3595 0.16 0.295
"2375" "M" 0.435 0.335 0.11 0.383 0.1555 0.0675 0.135
"3535" "M" 0.4 0.315 0.09 0.33 0.151 0.068 0.08
"438" "M" 0.385 0.305 0.095 0.252 0.0915 0.055 0.09
"2457" "M" 0.25 0.18 0.06 0.073 0.028 0.017 0.0225
"3553" "M" 0.525 0.39 0.105 0.567 0.2875 0.1075 0.16
"2623" "F" 0.7 0.575 0.205 1.7975 0.7295 0.3935 0.5165
"1583" "M" 0.5 0.375 0.14 0.559 0.2375 0.135 0.169
"2609" "F" 0.625 0.49 0.175 1.1075 0.4485 0.2165 0.3595
"2740" "M" 0.45 0.335 0.095 0.3505 0.1615 0.0625 0.1185
"3415" "F" 0.49 0.37 0.105 0.5265 0.249 0.1005 0.148
"3564" "M" 0.575 0.455 0.155 0.8725 0.349 0.2095 0.285
"1090" "M" 0.45 0.33 0.105 0.3715 0.1865 0.0785 0.0975
"2050" "M" 0.445 0.32 0.12 0.378 0.152 0.0825 0.12
"2595" "F" 0.595 0.465 0.15 1.0765 0.491 0.22 0.287
"1652" "F" 0.595 0.435 0.15 0.9 0.4175 0.17 0.265
"1798" "M" 0.585 0.45 0.15 0.8915 0.3975 0.2035 0.253
"1851" "M" 0.485 0.36 0.12 0.5155 0.2465 0.1025 0.147
"401" "F" 0.485 0.365 0.12 0.5885 0.27 0.131 0.175
"458" "M" 0.36 0.28 0.105 0.199 0.0695 0.045 0.08
"1097" "M" 0.475 0.35 0.1 0.4545 0.2165 0.111 0.115
"929" "M" 0.435 0.34 0.115 0.3925 0.1825 0.078 0.1145
"699" "F" 0.43 0.335 0.12 0.444 0.155 0.1145 0.14
"227" "F" 0.39 0.29 0.125 0.3055 0.121 0.082 0.09
"3408" "M" 0.35 0.265 0.08 0.192 0.081 0.0465 0.053
"2672" "F" 0.59 0.46 0.16 1.0115 0.445 0.2615 0.2565
"3867" "F" 0.525 0.43 0.165 0.717 0.289 0.1745 0.195
"2619" "F" 0.69 0.545 0.205 1.933 0.7855 0.429 0.498
"3544" "M" 0.46 0.34 0.09 0.384 0.1795 0.068 0.11
"1522" "F" 0.68 0.5 0.185 1.741 0.7665 0.3255 0.4685
"3739" "F" 0.635 0.505 0.17 1.2635 0.512 0.322 0.355
"185" "F" 0.645 0.51 0.2 1.5675 0.621 0.367 0.46
"286" "F" 0.535 0.415 0.17 0.879 0.295 0.1965 0.285
"3843" "F" 0.615 0.475 0.145 0.9525 0.3915 0.195 0.32
"2037" "M" 0.255 0.19 0.06 0.086 0.04 0.0185 0.025
"3569" "M" 0.58 0.46 0.14 0.8295 0.3915 0.165 0.238
"3526" "M" 0.33 0.23 0.085 0.1695 0.079 0.026 0.0505
"2138" "F" 0.59 0.455 0.175 0.966 0.391 0.2455 0.31
"3604" "M" 0.42 0.325 0.11 0.325 0.1245 0.0755 0.1025
"560" "M" 0.52 0.4 0.145 0.66 0.267 0.1055 0.22
"254" "F" 0.575 0.46 0.185 1.094 0.4485 0.217 0.345
"3115" "M" 0.44 0.34 0.1 0.379 0.1725 0.0815 0.101
"2337" "F" 0.565 0.48 0.175 0.957 0.3885 0.215 0.275
"1404" "F" 0.65 0.51 0.17 1.567 0.7245 0.349 0.391
"2598" "F" 0.6 0.46 0.15 1.235 0.6025 0.274 0.29
"1839" "M" 0.415 0.31 0.095 0.311 0.1125 0.0625 0.115
"1307" "M" 0.54 0.42 0.14 0.7265 0.3205 0.1445 0.229
"1960" "F" 0.65 0.51 0.155 1.189 0.483 0.278 0.3645
"2555" "M" 0.34 0.265 0.07 0.185 0.0625 0.0395 0.07
"1189" "F" 0.69 0.54 0.155 1.454 0.624 0.3105 0.39
"4142" "F" 0.65 0.505 0.165 1.357 0.5725 0.281 0.43
"1776" "M" 0.485 0.365 0.105 0.5205 0.195 0.123 0.182
"54" "F" 0.47 0.36 0.12 0.4775 0.2105 0.1055 0.15
"4000" "M" 0.415 0.31 0.095 0.34 0.181 0.057 0.083
"3548" "M" 0.48 0.355 0.125 0.494 0.2385 0.0835 0.15
"50" "F" 0.525 0.425 0.16 0.8355 0.3545 0.2135 0.245
"2095" "M" 0.405 0.305 0.09 0.2825 0.114 0.0575 0.095
"463" "M" 0.24 0.185 0.07 0.0715 0.026 0.018 0.025
"3377" "M" 0.31 0.235 0.09 0.127 0.048 0.031 0.04
"3644" "M" 0.47 0.345 0.12 0.3685 0.1525 0.0615 0.125
"2071" "M" 0.55 0.42 0.115 0.668 0.2925 0.137 0.209
"3547" "M" 0.475 0.35 0.115 0.498 0.2375 0.099 0.14
"1370" "F" 0.615 0.475 0.155 1.004 0.4475 0.193 0.2895
"642" "M" 0.62 0.485 0.18 1.1785 0.4675 0.2655 0.39
"930" "M" 0.44 0.345 0.13 0.4495 0.209 0.0835 0.134
"2789" "F" 0.615 0.46 0.15 1.0265 0.4935 0.201 0.2745
"373" "F" 0.68 0.58 0.2 1.787 0.585 0.453 0.6
"1023" "F" 0.64 0.5 0.17 1.5175 0.693 0.326 0.409
